train_test,pred_type,pred,mean_total_local,mean_prob0,mean_prob1
test,FN,1,-0.380856953193215,0.419,0.581
test,FP,0,0.266110986449946,0.661138461538462,0.338861538461538
test,TN,1,0.155707983196301,0.0717521739130435,0.928247826086957
test,TP,0,0.308290165096943,0.70692,0.29308
train,FN,1,-0.268357977137099,0.386988888888889,0.613011111111111
train,FP,0,0.300875389430717,0.695548571428571,0.304451428571429
train,TN,1,0.176955703254017,0.0589807339449541,0.941019266055046
train,TP,0,0.376456398793606,0.719770512820513,0.280229487179487
