train_test,pred_type,pred,opp_mean_total_local,mean_prob0,mean_prob1
test,FN,1,-0.477558268044285,0.419,0.581
test,FP,0,0.279516074508823,0.661138461538462,0.338861538461538
test,TN,1,0.134939270963611,0.0717521739130435,0.928247826086957
test,TP,0,0.209336690180499,0.70692,0.29308
train,FN,1,-0.372281180772899,0.386988888888889,0.613011111111111
train,FP,0,0.29781878454632,0.695548571428571,0.304451428571429
train,TN,1,0.176101974502743,0.0589807339449541,0.941019266055046
train,TP,0,0.394494207601121,0.719770512820513,0.280229487179487
