rf_score,variable
52.5111123138555,mainvar9
35.3847831678716,mainvar4
31.2105694898059,mainvar1
26.8949142360427,mainvar8
18.2591529799663,mainvar3
14.8260264769965,mainvar2
14.707221576229,mainvar6
6.49283621237061,var1
6.4422261171554,mainvar5
6.35205994107249,intvar1
5.84159534682448,var35
4.91902506804958,var58
4.62270738354844,intvar6
4.11405615234167,var29
3.64323024037371,intvar3
3.4941155978174,var21
3.44201630009569,intvar5
3.31072347286571,var45
3.25845524914671,intvar8
3.02344809767647,var8
2.77511645266166,var67
2.60836308813576,intvar10
2.55079441731493,var18
2.47352239187145,var38
2.20493618531926,var48
2.18259183318926,var60
1.99630374239237,var25
1.97705548619504,var31
1.9599367944751,var12
1.92609145535997,var36
1.91323240504022,var17
1.86648942986854,var64
1.63640082218208,var4
1.63365445402104,var39
1.58103019178278,var34
1.47535777513026,var33
1.46233067783782,var69
1.36794662152095,mainvar7
1.24934244961887,var11
1.15724564947592,var44
1.1050581456533,var40
1.09237755415916,intvar7
1.06130546650091,var20
1.02864080619092,var7
0.920312562725793,var72
0.882963583399552,var32
0.851297052031723,var73
0.789025628320204,var28
0.702850993464015,var76
0.622448796973711,var71
0.545629516199947,var55
0.517592748482761,var49
0.487581204352311,var68
0.474383362696938,var65
0.413780178715468,var66
0.39232337217122,var56
0.366482325200643,var24
0.362625625719179,var23
0.342570024797694,var51
0.303446547472642,var61
0.203499378841718,var63
0.193783891592549,mainvar10
0.169999218321492,var53
0.150858972698452,var52
0.141534611154379,intvar4
0.0779740719678672,var19
-0.069114267715246,var41
-0.0691308555438453,var79
-0.0765772273693571,var9
-0.278321042017702,var37
-0.389692246096962,var47
-0.413128635943784,var3
-0.433626992460754,intvar9
-0.581558125953298,var77
-0.629892826018335,var26
-0.6538389863091,var14
-0.72476724920537,intvar2
-0.786061654983723,var13
-0.837219034564152,var80
-0.887791161003774,var75
-0.905494802094407,var74
-0.909859020134343,var50
-0.958809854341284,var5
-0.984470726350741,var62
-1.01820479068477,var27
-1.0511050906314,var6
-1.08483662859158,var46
-1.08621380169081,var78
-1.08878876039966,var43
-1.12877198021529,var16
-1.14961845729803,var22
-1.18836380174017,var15
-1.34016285733656,var30
-1.59287194745844,var2
-1.65100081309831,var57
-1.89681822086566,var70
-1.96364782820997,var54
-2.34951701467848,var59
-2.56609169761363,var10
-2.6172445856483,var42
