Analysis,diff2_acf1,time_kl_shift,fluctanal_prop_r1,avg_rR45CO244CO2,sd_d18O13C,prob_abiotic,prob_biotic,biotic
2961,0.0980754497354497,0.0379773696145125,0.0857354383975813,0.0560639191232048,0.00548197845804989,0.0329529309317567,0.967047069068243,biotic
2962,0.026586455026455,0.0094697656840514,0.0486475925925926,0.0231197959183673,0.0526174584278156,0.181569498676002,0.818430501323998,biotic
2963,0.106034278155707,0.0463432256235828,0.0864562452758881,0.05882880574452,0.00696483938019652,0.027992277992278,0.972007722007722,biotic
2965,0.0658819803476946,0.0344326436130008,0.0782180045351474,0.0998640759637188,0.00554201625094482,0.0124281424281424,0.987571857571858,biotic
2966,0.0158780914588057,0.00402089569160998,0.0437148110355253,0.0189668405139834,0.0417556802721088,0.310124951693933,0.689875048306068,biotic
2968,0.11209115835223,0.0473906009070295,0.0624598790627362,0.0429569595616024,-0.00188928382464097,0.135283194057567,0.864716805942432,biotic
2970,0.0640511432350718,0.0373168915343915,0.0691947902494331,0.0931589663643235,0.000196696900982615,0.066479840111227,0.933520159888773,biotic
2972,0.0830798450491308,0.0211519992441421,0.0680910506424792,0.0406431651549509,-0.000714293272864702,0.0964877663772691,0.903512233622731,biotic
2973,0.0624669444444444,0.0307949981103552,0.0788833711262283,0.11087059334845,0.0066068499622071,0.0141148836216101,0.98588511637839,biotic
2975,0.00926656084656085,-0.026433238851096,-0.0207750113378685,-0.0273706953892668,0.0934946844293273,0.584220227253014,0.415779772746986,biotic
2976,0.104843652683296,0.0451399036281179,0.0873052380952381,0.0649599622071051,0.00685406840513983,0.0296799160435524,0.970320083956448,biotic
2977,0.0632020767195767,0.0328865513983371,0.0733989002267574,0.0895212679516251,0.00204137188208617,0.0561812765584615,0.943818723441538,biotic
2978,0.114363308767952,0.0345578817082388,0.0813028382464097,0.0600018631897203,-0.000335763416477702,0.0488548136645963,0.951145186335404,biotic
2979,0.112908301209373,0.0451008673469388,0.0641957709750567,0.0312431481481481,0.00335042894935752,0.128923679060665,0.871076320939335,biotic
2981,0.0884941950113379,0.0126560430839002,0.0548663681027967,0.0287306859410431,0.00129110733182162,0.162945214350473,0.837054785649527,biotic
2983,0.0797539361300076,0.0142832842025699,0.0696247808012094,0.0477247845804989,0.00090895880574452,0.110078015091444,0.889921984908556,biotic
2984,-0.0168107142857143,0.0267029875283447,0.0389680272108844,-0.00974942176870748,0.0105938869992441,0.377525349762546,0.622474650237453,biotic
2985,0.112386997354497,0.0404131764928193,0.0782828817082389,0.0590771485260771,0.00241988851095994,0.0690563725490196,0.93094362745098,biotic
2986,0.0477335997732426,0.00951683106575964,0.0645719217687075,0.0652720975056689,-0.00526578798185941,0.0793562117584464,0.920643788241553,biotic
2987,0.0755268537414966,0.0344904988662132,0.0810496712018141,0.0910870710506425,0.00567962962962963,0.00990762425188655,0.990092375748113,biotic
2988,0.11640742441421,0.0378594066515495,0.0816853703703704,0.0602590684051398,0.00424035336356765,0.0605725889231044,0.939427411076896,biotic
2989,-0.00502329743008314,-0.000650591458805745,0.00837410241874528,-0.05993029856387,0.12058816893424,0.430855379188713,0.569144620811287,biotic
2990,0.114332656840514,0.0441791647770219,0.0634330102040816,0.0433787131519274,0.00121619992441421,0.0894764535648514,0.910523546435148,biotic
2993,0.0433862358276644,0.0312290173847317,0.0731216855631141,0.0993202154195011,-0.000726409674981103,0.10604345563362,0.893956544366381,biotic
2995,0.0918817044595616,0.0230382804232804,0.0643257804232804,0.0363089210128496,-0.0062262037037037,0.11705365341729,0.88294634658271,biotic
2998,0.00126296296296296,-0.00115325018896447,-0.155682802343159,0.0087303835978836,0.0699640513983371,0.777161939457021,0.222838060542979,biotic
3001,0.0548251776266062,0.0200715343915344,0.0778695181405896,0.0662273015873016,0.00290788170823885,0.046616112198304,0.953383887801696,biotic
3233,0.0021718216175359,0.000922086167800454,0.22258843159486,0.000826955782312925,0.00765432917611489,0.974453781512605,0.025546218487395,abiotic
3234,0.00479529856386999,3.3265306122449e-05,0.262080241874528,-0.00831380196523054,0.00860885865457294,0.966978253395221,0.0330217466047791,abiotic
3240,0.0074821447467876,-0.0239991288737717,-0.0379781519274376,0.00292046107331822,0.00349464285714286,0.337669018224574,0.662330981775427,abiotic
3241,0.00750815948601663,0.000765680272108844,0.217811893424036,0.00359280045351474,0.00309059901738473,0.967940045098819,0.0320599549011805,abiotic
3242,0.00770534580498866,0.000444444444444445,0.240025058578987,0.00338270975056689,0.0042380612244898,0.992176258992806,0.00782374100719424,abiotic
3250,0.0102421031746032,-6.74149659863946e-05,0.243867526455026,0.00214868858654573,0.00624128684807256,0.996848370927318,0.0031516290726817,abiotic
3253,0.00968641534391534,-0.00816162131519274,0.233893601662887,-0.000141919879062736,0.0073074716553288,0.964661984196664,0.0353380158033363,abiotic
3257,0.0100409731670446,0,0.221735844671202,0.000384098639455782,0.00482480914588057,0.990297841983235,0.00970215801676476,abiotic
3259,0.0063644992441421,-0.0077626171579743,0.208260986394558,-0.00166102607709751,-0.00407420256991686,0.926453014665942,0.0735469853340576,abiotic
3260,0.0136183012093726,-0.00274058390022676,0.239702883597884,0.000484143990929705,0.00916262282690854,0.984322446450699,0.0156775535493008,abiotic
3261,0.0087712641723356,-7.50000000000001e-06,0.22100593537415,0.00398280801209373,0.00958094671201814,0.993361672892782,0.006638327107218,abiotic
3263,0.0121258786848073,9.03703703703704e-05,0.222437097505669,0.00242267951625094,0.00522137188208617,0.99474011826953,0.00525988173046997,abiotic
3265,0.00334686318972033,0.000633219954648526,0.173071829176115,-0.00527702003023432,0.00720157974300831,0.963830852267781,0.036169147732219,abiotic
3267,0.00593683484504913,-0.000156424792139078,0.184877471655329,-0.00104045540438398,0.00755262849584278,0.98014040429671,0.0198595957032902,abiotic
3272,0.00280331632653061,-0.0198469841269841,0.0651781481481482,-0.0147581235827664,-0.00215270030234316,0.612088725365812,0.387911274634188,abiotic
3274,0.0114678533635676,-0.00624084656084656,0.223742828798186,0.00318992819349962,0.00603514739229025,0.970992979785165,0.0290070202148355,abiotic
4922,0.0849659656084656,0.0203674111866969,0.00855856386999244,0.0154294274376417,0.00644152494331066,0.985152487961477,0.0148475120385233,abiotic
4925,0.107441592970522,0.0170232993197279,0.00762988095238095,0.0177235544217687,0.00328184051398337,0.981892793023852,0.0181072069761477,abiotic
4929,0.0611362962962963,0.0288231746031746,0.0117959183673469,0.0181460411942555,-0.0401249300831444,0.818601594483947,0.181398405516052,abiotic
4932,0.0837085563114135,0.024244835600907,0.00859177815570673,0.0172884523809524,0.0082055612244898,0.97509324312603,0.02490675687397,abiotic
4935,0.0832983125472411,0.11130376984127,0.0420371145124717,0.0072959977324263,0.00579347127739985,0.837220646381296,0.162779353618704,abiotic
4936,0.0893440041572184,0.12552216175359,0.0383417951625094,0.00199105064247921,0.0105354157218443,0.876149125097937,0.123850874902063,abiotic
4937,0.00872269085411942,0.0541094633408919,0.0611155196523054,0.118705007558579,0.0101366364323507,0.96284734973681,0.0371526502631901,abiotic
4940,0.0436534656084656,0.0144793027210884,0.00730763227513228,0.0101251662887377,0.00686776832955404,0.982060678749111,0.0179393212508884,abiotic
4941,0.00779031557067271,0.0493586375661376,0.0525101095993953,0.124556124338624,0.00982256991685563,0.979121212121212,0.0208787878787879,abiotic
4942,0.0110086545729403,0.0371321409674981,0.0540864871504157,0.127313985260771,0.00360225434618292,0.975406698564593,0.0245933014354067,abiotic
4946,0.0790888605442177,0.121017630385488,0.0451896371882086,0.00719288926681784,0.0137288813303099,0.850354748846522,0.149645251153478,abiotic
4948,0.0112735941043084,0.0369884183673469,0.0552417743764172,0.0986894293272865,0.00837990740740741,0.987006741380051,0.0129932586199493,abiotic
4949,-0.0108257653061224,-0.0090906500377929,-0.000771672335600909,0.144531063869992,-0.0203297411186697,0.708436807558845,0.291563192441155,abiotic
4951,0.0112907558578987,0.0462865797430083,0.0688054195011338,0.119129145880574,0.00878111300075586,0.98528965726418,0.0147103427358204,abiotic
4952,-0.00104831821617536,0.0215170427059713,0.0399608125472411,0.111602836356765,0.000681827286470144,0.899617624827709,0.100382375172291,abiotic
4953,0.0760204043839758,0.122668401360544,0.0452612414965986,0.0107835204081633,-0.00119683673469388,0.836656084656084,0.163343915343915,abiotic
4959,0.0699657671957672,0.0127371031746032,0.00935548941798942,0.0162054743008314,0.00687982426303855,0.991002576403696,0.00899742359630419,abiotic
4960,0.0894476662887377,0.114756369992441,0.0313808371126228,-0.00551418367346939,0.011741887755102,0.843806897759104,0.156193102240896,abiotic
4961,0.0785244368858655,0.120545867346939,0.0524193405139834,0.00452143613000756,0.0116942989417989,0.849481159037946,0.150518840962054,abiotic
4963,0.0376995068027211,0.007631619425548,-0.0044315589569161,0.0270538662131519,0.00783510393046107,0.953260365262137,0.0467396347378633,abiotic
4964,0.0600002040816326,0.123920323129252,0.0482127154195011,0.00667863756613757,0.00711656273620559,0.890950623791952,0.109049376208048,abiotic
4965,0.0091862074829932,0.0387070993953137,0.0533375585789872,0.117136651549509,0.0042325283446712,0.988378005892976,0.011621994107024,abiotic
4966,-0.0346042894935752,0.0630704213907785,0.0478255536659108,0.0587606500377929,-0.00490871882086168,0.717017365952593,0.282982634047408,abiotic
4968,0.104428108465608,0.0217160638699924,0.00847328798185941,0.0205595294784581,0.00662626228269085,0.987414965986395,0.0125850340136054,abiotic
4969,0.0936247146636432,0.0207008144368859,0.00746415721844293,0.0148736073318216,0.00700828420256992,0.986083074534162,0.0139169254658385,abiotic
