id,train_test,pred_type,pred,prob_abiotic,prob_biotic,avg_rR45CO244CO2,sd_d18O13C,diff2_acf1,fluctanal_prop_r1,time_kl_shift
2975,train,FN,abiotic,0.5842,0.4158,93.579457578516,-21.4876346978459,-4.14897594356921,-0.600659938197138,8.66171503990334e-05
2998,train,FN,abiotic,0.7772,0.2228,167.384852739274,-16.7871602771413,-16.6016668168174,10.4893684931074,3.39679771585843e-05
5907,train,FN,abiotic,0.6275,0.3725,-217.56062890144,40.9104321362755,-20.3990872769432,17.075460996345,8.30626328642594e-05
5912,train,FN,abiotic,0.6653,0.3347,610.270894390457,163.225249957928,-39.0625309714356,-25.4455235735319,3.73426970024327e-05
5916,train,FN,abiotic,0.6732,0.3268,54.3808983916628,10.242050167624,-6.38754657531508,-3.45707634693689,1.12680459509626e-05
5911,test,FN,abiotic,0.6329,0.3671,-63.6898314891568,-4.38621154703281,4.08940897378763,-3.57574069176554,2.43597931130986e-05
5913,test,FN,abiotic,0.9919,0.0081,12.1631943364791,9.63717322777258,-8.08531037687466,6.2646663177929,2.36343415688129e-05
