id,train_test,pred_type,pred,prob_abiotic,prob_biotic,avg_rR45CO244CO2,sd_d18O13C,diff2_acf1,fluctanal_prop_r1,time_kl_shift
3240,train,FP,biotic,0.3377,0.6623,191.682728255745,10.0088470883349,-9.28144537513693,6.79880863696842,-2.28802320735648e-05
5900,train,FP,biotic,0.3343,0.6657,-24.709152594353,6.29686882287119,4.05728544809668,-3.57330305559034,-1.83738546807167e-05
5924,train,FP,biotic,0.0205,0.9795,173.647152047869,-15.1623730130808,14.2582069810269,8.96410755656522,-3.4809192667971e-05
5928,train,FP,biotic,0.4068,0.5932,148.578959089036,-14.2702534639814,10.1853018658182,-8.67362717769042,-3.66314468444117e-05
5937,train,FP,biotic,0.4238,0.5762,119.316088272341,7.00932579557486,-5.40381926579422,4.75692441053542,-3.39161345542459e-05
5945,train,FP,biotic,0.5524,0.4476,-73.1584485032489,7.51294285930454,-7.08895102599785,4.18335017407615,-2.72468611752396e-05
5949,train,FP,biotic,0.5105,0.4895,-327.961303674539,-114.989209109056,23.4008569241754,14.7392613403561,-3.42739126504294e-05
5951,train,FP,biotic,0.4518,0.5482,-61.7851952273268,8.49048683213439,-5.36020247652785,4.82248546712733,-3.17403564295135e-05
5956,test,FP,biotic,0.445,0.555,-59.1870733538844,7.56567579934984,-5.35942033292083,4.21925104232422,-2.77170999877106e-05
