train_test,pred_type,pred,mean_total_local,mean_prob_abiotic,mean_prob_biotic
test,FN,abiotic,-23.7913016274315,0.8124,0.1876
test,FP,biotic,-52.7615945622312,0.445,0.555
test,TN,abiotic,-91.4897613235824,0.945671428571429,0.0543285714285714
test,TP,biotic,26.4909990766548,0.20695,0.79305
train,FN,abiotic,159.124085158104,0.66548,0.33452
train,FP,biotic,12.161558004205,0.379725,0.620275
train,TN,abiotic,-15.8369703345017,0.889730864197531,0.110269135802469
train,TP,biotic,81.5179803723133,0.207813043478261,0.792186956521739
