pred_type,pred,biotic,mean_total_local,mean_prob_abiotic,mean_prob_biotic
FN,abiotic,biotic,-0.0606220393046106,0.665472929632769,0.334527070367231
FP,biotic,abiotic,-0.0733650956632654,0.379721062253876,0.620278937746124
TN,abiotic,abiotic,0.184310314334238,0.889729981052338,0.110270018947662
TP,biotic,biotic,0.193802250936606,0.207807160012004,0.792192839987996
