id,train_test,pred_type,class,pred,prob_abiotic,prob_biotic,knn,nbd_bal,lambda.1se,time_kl_shift,fluctanal_prop_r1,diff2_acf1,sd_d18O13C,avg_rR45CO244CO2,total_local_score,opp_class,opp_lambda.1se,opp_time_kl_shift,opp_fluctanal_prop_r1,opp_diff2_acf1,opp_sd_d18O13C,opp_avg_rR45CO244CO2,opp_total_local_score
2961,train,TP,biotic,biotic,0.033,0.967,173,0.6301,0.349291045908087,-1.24119214575224e-05,6.40839953779665,15.9021877261216,-29.6998095561958,245.307531590953,237.918296886754,1,0.5067615014744,-1.37436621238149e-05,5.09061655200021,12.3122431121306,-18.6225252323022,178.556790588202,177.337111276369
2962,train,TP,biotic,biotic,0.1816,0.8184,173,0.6301,0.811383984446425,-1.98801864310437e-05,-0.34851419427691,4.94288344515476,8.30574025665898,-66.083323401032,-53.1832337736816,1,1.07260187624605,-1.5854538404394e-05,0.0541355362352552,3.97468895381252,6.61860197135537,-53.0306163946255,-42.3832057877608
2963,train,TP,biotic,biotic,0.028,0.972,173,0.6301,0.813648090328585,-1.30877514128821e-05,3.63720072383531,8.74171717214885,-9.00985983604103,108.995515316301,112.364560288493,1,0.386548761590858,-1.41083451409326e-05,5.9874950300949,15.0661008177537,-22.3937051758889,214.423495646474,213.083372210089
2965,train,TP,biotic,biotic,0.0124,0.9876,173,0.6301,1.30941743960493,-7.24851915772585e-06,2.61235292960206,4.2410280980475,-5.10832047158514,72.7617072389659,74.5067605465111,1,0.154093809365391,4.46109716686494e-05,10.9811604516079,17.0502030262039,-68.933914755301,316.025556722364,275.123050055846
2966,train,TP,biotic,biotic,0.3101,0.6899,173,0.6301,1.87905067854891,-9.40405969105189e-06,2.48093982212652,-2.92769260496884,3.74572077763904,-28.1070498336693,-24.8080912429323,1,1.56002088474161,-1.09856780922769e-05,2.90958813435191,-3.74329053496055,4.41188628051269,-32.8396405322953,-29.2614676380693
2968,train,TP,biotic,biotic,0.1353,0.8647,173,0.6301,2.56249521360733,-6.62965821836362e-06,1.39180560397941,3.51268142023744,-8.77391956248132,-11.6865244119548,-15.5559635798775,1,2.3348502013632,-7.13370992129886e-06,1.51043242150294,3.82034044839629,-9.29242124699216,-12.8317605219663,-16.7934160327691
2970,train,TP,biotic,biotic,0.0665,0.9335,173,0.6301,0.113051065058372,6.09314579661293e-05,13.0563963902049,18.8461819075297,-112.43531824718,399.160412811727,318.627733793739,1,0.314571304007701,8.72755012300417e-06,7.69323385663311,11.3708632411082,-48.5573309619109,230.358305371291,200.865080234672
2972,train,TP,biotic,biotic,0.0965,0.9035,173,0.6301,0.694177757042277,3.99512971516674e-06,4.05057164262419,10.6771368096257,-15.123350213243,134.168846585231,133.773208819367,1,1.10532729805853,3.96122984797701e-06,2.86142579422046,7.35510288075575,-9.63437137348653,85.9592287936896,86.5413900564091
2973,train,TP,biotic,biotic,0.0141,0.9859,173,0.6301,0.356335706111943,6.58548620941928e-06,6.91064668490843,10.9231570658941,-28.9447887252596,191.153741131685,180.042762742714,1,0.324679824083317,9.4217066419639e-06,7.3212951683139,11.5450589310855,-31.8956613713084,202.945298948716,189.916001098514
2975,train,FN,biotic,abiotic,0.5842,0.4158,173,0.3757,0.818440825103408,8.66171503990334e-05,-0.600659938197138,-4.14897594356921,-21.4876346978459,93.579457578516,67.3422736160542,2,0.105705697349681,0.000252677769515125,-4.20301817692411,-13.8757166192088,-105.093198421288,308.049106835572,184.87742629592
2976,train,TP,biotic,biotic,0.0297,0.9703,173,0.6301,0.701531400528761,-1.25739837005102e-05,4.13281908471056,8.89093938006434,-11.1915895133978,136.21729174933,138.049448126724,1,0.76992984603493,-1.23493075369608e-05,3.85911347758836,8.2684510560374,-9.93181019763962,124.97574653103,127.171488517708
2977,train,TP,biotic,biotic,0.0562,0.9438,173,0.6301,0.26823759372944,1.53173900777008e-05,8.42054280343756,12.9998752135274,-42.1329180263275,285.546579275723,264.83409458375,1,0.0800326356271087,8.954513093583e-05,14.7885264458643,22.1350255680857,-98.6906044169668,525.369841799193,463.602878941307
2978,train,TP,biotic,biotic,0.0489,0.9511,173,0.6301,1.16516665257014,-1.13784036928582e-05,2.74586436053938,6.29512836204095,-13.3319148685481,46.7360073130831,42.4450737887117,1,0.73175861564469,-1.42363574902381e-05,3.90644444693817,9.14653242642215,-22.1977161672672,77.1029660731614,67.958212542897
2979,train,TP,biotic,biotic,0.1289,0.8711,173,0.6301,1.83866275378096,-8.11678250232248e-06,1.86269271986549,-2.46409319178102,4.12454029765984,-12.8359938033316,-9.31286209436975,1,0.548592105113033,-1.38504033710288e-05,4.63206020429762,10.734231094305,-12.3938646941996,-13.1751074689589,-10.2026947149593
2981,train,TP,biotic,biotic,0.1629,0.8371,173,0.6301,0.535138736696738,1.2794958898889e-06,4.76093944055739,10.6060844690182,-12.5215279574332,28.6246521368903,31.4701493685286,1,1.96844350418721,2.65332070142885e-06,0.310279599377399,1.76486006189614,-2.53536379140505,3.73409953030752,3.27387805349672
2983,train,TP,biotic,biotic,0.1101,0.8899,173,0.6301,0.699877012281735,6.71984919140071e-07,4.18489207520804,8.95991355908966,-13.5055235210239,160.463496222779,160.102779008037,1,0.439543161056951,-4.13989021431137e-06,5.78215890726205,12.6631205246399,-25.4536099318418,239.458139736388,232.449805096558
