Analysis,diff2_acf1,time_kl_shift,fluctanal_prop_r1,avg_rR45CO244CO2,sd_d18O13C,biotic,prob_abiotic,prob_biotic
2961,0.734317482936473,133,0.408163265306122,1.17887469811111,0.00317916628608444,biotic,0.0329529309317567,0.967047069068243
2962,0.709178032312145,133,0.469387755102041,1.18001923222222,0.00983973832132181,biotic,0.181569498676002,0.818430501323998
2963,0.73486654454544,133,0.408163265306122,1.178937144,0.0027731752379434,biotic,0.027992277992278,0.972007722007722
2965,0.724102624375132,133,0.408163265306122,1.17691026244444,0.00300630259428243,biotic,0.0124281424281424,0.987571857571858
2966,0.702315074583893,133,0.489795918367347,1.17990736622222,0.00784079793026922,biotic,0.310124951693933,0.689875048306068
2968,0.737471572424029,133,0.408163265306122,1.17962835066667,0.00416826624069211,biotic,0.135283194057567,0.864716805942432
2970,0.721650577790355,133,0.408163265306122,1.17719942155556,0.00342020771772899,biotic,0.066479840111227,0.933520159888773
2972,0.737090783737752,4038,0.408163265306122,1.17888736666667,0.00204483195814441,biotic,0.0964877663772691,0.903512233622731
2973,0.724197533467077,133,0.408163265306122,1.176757149,0.0025653658951975,biotic,0.0141148836216101,0.98588511637839
2975,0.772404913324994,991,0.408163265306122,1.180776941,0.0100719559629322,biotic,0.584220227253014,0.415779772746986
2976,0.731959114273137,133,0.408163265306122,1.17884756877778,0.00272420248836826,biotic,0.0296799160435524,0.970320083956448
2977,0.723783479537742,133,0.408163265306122,1.17738802522222,0.0021886709221872,biotic,0.0561812765584615,0.943818723441538
2978,0.734035279777119,133,0.408163265306122,1.17919271633333,0.00363727473022105,biotic,0.0488548136645963,0.951145186335404
2979,0.733570854746336,133,0.408163265306122,1.179674327,0.00294433669607126,biotic,0.128923679060665,0.871076320939335
2981,0.732361115010614,4038,0.408163265306122,1.17948387522222,0.00279170049583749,biotic,0.162945214350473,0.837054785649527
2983,0.73184570009205,4038,0.408163265306122,1.17860544077778,0.00320350516018407,biotic,0.110078015091444,0.889921984908556
2984,0.696022853114239,4038,0.489795918367347,1.17924927477778,0.00676734659886604,biotic,0.377525349762546,0.622474650237453
2985,0.731773388935371,133,0.408163265306122,1.17935007566667,0.00222133860272196,biotic,0.0690563725490196,0.93094362745098
2986,0.727765982158005,4038,0.408163265306122,1.17668053955556,0.00440815324877648,biotic,0.0793562117584464,0.920643788241553
2987,0.726269254717448,133,0.408163265306122,1.17669532466667,0.00296667845579847,biotic,0.00990762425188655,0.990092375748113
2988,0.732850522793103,133,0.408163265306122,1.17932923933333,0.00251101721523627,biotic,0.0605725889231044,0.939427411076896
2989,0.760432715423714,133,0.408163265306122,1.18037506188889,0.0113517120764453,biotic,0.430855379188713,0.569144620811287
2990,0.734575361336977,133,0.408163265306122,1.17951117788889,0.00404298223419873,biotic,0.0894764535648514,0.910523546435148
2993,0.719217294094514,133,0.408163265306122,1.17682259888889,0.00402060592067009,biotic,0.10604345563362,0.893956544366381
2995,0.735594371840811,4038,0.408163265306122,1.17912426766667,0.00429856397302862,biotic,0.11705365341729,0.88294634658271
2998,0.753710623560141,133,0.346938775510204,1.18044714444444,0.0102724238585687,biotic,0.777161939457021,0.222838060542979
3001,0.729727337990705,4038,0.408163265306122,1.17686168944444,0.00232315873361206,biotic,0.046616112198304,0.953383887801696
3233,0.734514699075209,133,0.346938775510204,1.17993212988889,0.00301212502037448,abiotic,0.974453781512605,0.025546218487395
3234,0.722483651362695,133,0.346938775510204,1.17671107911111,0.00228004902492512,abiotic,0.966978253395221,0.0330217466047791
3240,0.687891832599888,133,0.489795918367347,1.17846621033333,0.00349914732681393,abiotic,0.337669018224574,0.662330981775427
3241,0.732502771992135,133,0.346938775510204,1.17883282988889,0.00483578164373843,abiotic,0.967940045098819,0.0320599549011805
3242,0.729205564674951,133,0.346938775510204,1.178482754,0.00204665498627708,abiotic,0.992176258992806,0.00782374100719424
3250,0.7277659492201,133,0.346938775510204,1.17843632311111,0.00315568838852839,abiotic,0.996848370927318,0.0031516290726817
3253,0.727613553599399,4038,0.346938775510204,1.17978065222222,0.00335757739611933,abiotic,0.964661984196664,0.0353380158033363
3257,0.728058175145081,133,0.346938775510204,1.17961898577778,0.00282808130223898,abiotic,0.990297841983235,0.00970215801676476
3259,0.727037342236797,4038,0.346938775510204,1.17940076422222,0.00524086552003365,abiotic,0.926453014665942,0.0735469853340576
3260,0.726425644239322,4038,0.346938775510204,1.17836578144444,0.00332740300262244,abiotic,0.984322446450699,0.0156775535493008
3261,0.708969556591545,133,0.346938775510204,1.177286014,0.00198471423839451,abiotic,0.993361672892782,0.006638327107218
3263,0.725571054454589,133,0.346938775510204,1.17911943144444,0.00297186485479248,abiotic,0.99474011826953,0.00525988173046997
3265,0.730148006046672,133,0.346938775510204,1.180297011,0.0027591847356555,abiotic,0.963830852267781,0.036169147732219
3267,0.727418257337432,133,0.346938775510204,1.18017812333333,0.00333874269692553,abiotic,0.98014040429671,0.0198595957032902
3272,0.708127014878273,133,0.387755102040816,1.17954077188889,0.00580843608282532,abiotic,0.612088725365812,0.387911274634188
3274,0.724687714605082,4038,0.346938775510204,1.17901672188889,0.00418005926152116,abiotic,0.970992979785165,0.0290070202148355
4922,0.798245059490677,323,0.408163265306122,1.17963897611111,0.00250811014041982,abiotic,0.985152487961477,0.0148475120385233
4925,0.799973592127928,323,0.408163265306122,1.17931653022222,0.00233849672959244,abiotic,0.981892793023852,0.0181072069761477
4929,0.793663650563155,323,0.408163265306122,1.17936389255556,0.00625956362675919,abiotic,0.818601594483947,0.181398405516052
4932,0.794589827562086,323,0.408163265306122,1.17966622066667,0.00406454482683505,abiotic,0.97509324312603,0.02490675687397
4935,0.714103169511131,323,0.408163265306122,1.17885846977778,0.00324940351607337,abiotic,0.837220646381296,0.162779353618704
4936,0.713640316602769,799,0.408163265306122,1.17857367311111,0.00372026441070696,abiotic,0.876149125097937,0.123850874902063
4937,0.729977800954052,323,0.408163265306122,1.18100136622222,0.00337789301130158,abiotic,0.96284734973681,0.0371526502631901
4940,0.801223335441453,323,0.408163265306122,1.18018598055556,0.0030793409712057,abiotic,0.982060678749111,0.0179393212508884
4941,0.731413313122468,323,0.408163265306122,1.18111039122222,0.00347342168472323,abiotic,0.979121212121212,0.0208787878787879
4942,0.731896970229732,323,0.408163265306122,1.18192361044444,0.00371446902076685,abiotic,0.975406698564593,0.0245933014354067
4946,0.712993259796573,323,0.408163265306122,1.17888156644444,0.00338810951287255,abiotic,0.850354748846522,0.149645251153478
4948,0.722630372836613,323,0.408163265306122,1.18226545733333,0.00408582746503726,abiotic,0.987006741380051,0.0129932586199493
4949,0.7228893338931,133,0.408163265306122,1.18114938433333,0.00663042861653956,abiotic,0.708436807558845,0.291563192441155
4951,0.73054122858317,323,0.408163265306122,1.18112810966667,0.00394475609249682,abiotic,0.98528965726418,0.0147103427358204
4952,0.733094504744601,799,0.408163265306122,1.18152909077778,0.00235047776911822,abiotic,0.899617624827709,0.100382375172291
4953,0.71414158356222,323,0.408163265306122,1.17908610566667,0.00490433789441235,abiotic,0.836656084656084,0.163343915343915
