pred_type,pred,class,mean_total_local,mean_prob_1,mean_prob_0
FN,1,0,-0.0336373937836784,0.5913172933286,0.408682706671401
FP,0,1,-0.0380466766758787,0.414465985424712,0.585534014575288
TN,1,1,0.0816053616813789,0.733219665049522,0.266780334950479
TP,0,0,0.0737067250276179,0.278194573090746,0.721805426909254
