class,pred,prob_0,prob_1,total_local_score,variable,local_score,sign
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar6,-0.000802384536987547,Contradicts
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar7,-0.00942875546713445,Contradicts
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar10,-0.0422083612336839,Contradicts
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar3,0.042984988283888,Supports
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar8,0.0447167991644184,Supports
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar1,0.0598254524377095,Supports
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar4,0.0670234327538564,Supports
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,intvar4,-0.0671827199110211,Contradicts
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar5,0.0780684607003284,Supports
0,0,0.763115873015872,0.236884126984127,0.0754377884879634,mainvar9,-0.0975591237034104,Contradicts
