id,train_test,pred_type,pred,prob_0,prob_1,mainvar5,mainvar9,mainvar1,mainvar4,mainvar7,mainvar10,mainvar3,mainvar8,intvar4,mainvar6
5,train,FP,0,0.7264,0.2736,0.0422850207693306,-0.0428817789810442,0.0285853735626259,0.0355434208257645,0.0202674169176928,0.0272744361358726,-0.0322654774845054,0.0115631621255202,-0.00819201593893806,0.0248943803789558
21,train,FP,0,0.5778,0.4222,0.0382745258979896,-0.0519049436435953,0.0228908468872781,0.0275427272978309,0.00769535336403299,-0.012795994425171,0.02308897855755,0.00613575079730716,0.00240454850166925,-0.0125315125043258
24,train,FP,0,0.7827,0.2173,0.0736386285992579,0.0878572262159045,0.0524068659304558,0.0576374814582105,0.0210094234035122,0.0388211597717748,0.0573693133257577,-0.0169231673545083,-0.00397078237654199,-0.0293292218159758
30,train,FP,0,0.5437,0.4563,0.108745974746978,-0.109916589893772,-0.100019134425681,-0.104263306474696,0.0383087718736121,0.0713883448852634,-0.103008955716866,0.0355472240789497,0.0192904872887748,0.0444632517627231
40,train,FP,0,0.7055,0.2945,0.0327907891655796,0.0449376614386098,0.0234745758169137,-0.0312848525892833,-0.0087849009607471,0.0188802316881734,-0.0260888778583943,-0.00270735494222481,0.00256838512771345,0.00916470497010256
46,train,FP,0,0.6101,0.3899,-0.0683365167712279,-0.0846021094221696,-0.0503301656341151,0.0595697458617049,0.0161872077648159,0.0330480690648008,0.0512791881868446,-0.0149394191374318,-0.0110136819213178,0.0201038471117287
50,train,FP,0,0.5499,0.4501,-0.371201457449066,0.433234932530598,-0.353272023175934,-0.364938749708209,0.0750645772224647,-0.3348317688623,0.361850821965682,0.0695297229343612,0.00448254960012266,-0.274634359793077
52,train,FP,0,0.6349,0.3651,0.0441184506743528,0.0516204378070955,-0.0286020390855721,-0.032997911498333,-0.0163955494774981,0.0259550961171652,-0.030194991271305,0.00700755721165968,-0.00388011182427529,-0.0257914545548132
54,train,FP,0,0.5888,0.4112,0.0632633246480274,0.0700226878468179,-0.0494082803883153,-0.0615228132749248,-0.0286882940371542,0.0443057557131998,-0.0579094994625563,0.0244956969686801,0.000606290957921853,-0.0292422836712834
60,train,FP,0,0.5317,0.4683,-0.0523329905334143,-0.0660759917700625,0.0399219708639163,0.0473473906882089,-0.0130163030671679,0.0368325705669869,-0.0432709590850538,-0.00553201145338461,0.00256817401918146,0.0171376509689552
65,train,FP,0,0.527,0.473,0.112867570523369,-0.11500188630462,-0.0742557373708961,-0.0965729200993008,0.039252829841201,-0.0703613569866061,-0.0895741941417071,0.0319910191229054,0.0197486323669222,0.0675721846098898
68,train,FP,0,0.5897,0.4103,-0.151189541621425,0.15636897145362,-0.118619395502393,0.132633933579541,0.0738078302676928,0.0886770808725905,-0.125428784370438,0.0393431793726122,-0.009608556723209,0.0759230135519975
91,train,FP,0,0.5094,0.4906,-0.153793238818543,-0.176731307440119,0.0992738852847435,0.136731784120105,-0.0384856775129999,0.0956033340089105,0.109713977531795,0.0374883778851484,-0.00153523595252247,0.0629477861273591
99,train,FP,0,0.5066,0.4934,-0.0816790250526583,-0.0824919030855637,0.0656187451001264,0.0808777014296089,0.0240005999228844,-0.0568365443991,-0.0778271033388264,0.0205483953074372,-0.0170911598010693,-0.0342089730373558
105,train,FP,0,0.5923,0.4077,0.0471022379480961,0.0477190153089866,0.0277890278852101,0.0422685692117066,0.00983495468751613,0.0249204516088667,-0.035018948614501,-0.00814541353550697,0.00329847838612927,0.0185789219155847
115,train,FP,0,0.5962,0.4038,0.121894910687338,-0.144037216291581,-0.0758562604568523,-0.112254120767952,-0.0376463828832028,0.057674858875686,0.0895740864366891,-0.0347566906161559,0.0242571862359588,0.0443745534955966
118,train,FP,0,0.5113,0.4887,-0.0450914377975456,-0.0465912506577011,0.0341369503377591,-0.0399441997943752,0.0155362181848538,0.0307834223398695,-0.034544235965551,-0.0113101015275869,0.0106668330204376,0.0244448077579093
120,train,FP,0,0.5413,0.4587,-0.0908626077537202,0.125995438055443,0.0615535555470873,-0.0901392363929803,0.0196243828518208,0.035521428463374,0.0672489943693704,-0.0138827803275841,0.00496752204399229,-0.0340932968636785
128,train,FP,0,0.5278,0.4722,0.0332417560612895,0.0341927518511466,-0.0266289626101426,-0.0292405698069044,0.0104328373495932,-0.025146837388472,-0.0287602755767095,0.00898760818062123,-0.00467522438822344,0.0110907196279041
130,train,FP,0,0.5854,0.4146,-0.137934689569863,0.157321137263425,-0.0784934001980341,0.108715296493767,-0.0737743799215281,0.0747230561455244,-0.101724106524717,0.0586580250632218,0.0295406160093528,0.0737814796481817
137,train,FP,0,0.5569,0.4431,0.142435075448958,-0.145016077562525,0.112931444851809,-0.134930942638263,-0.0407079788457583,0.0776142378533919,-0.112958517687929,0.0278916766742487,-0.00456477823264496,0.0659070374541666
146,train,FP,0,0.5974,0.4026,-0.187120404989288,0.19023946323342,0.138754585806945,0.148666957909532,0.0380758254574946,-0.114726920818046,-0.143851148548005,0.0242088130779346,0.0115532262580789,0.0446466656972157
149,train,FP,0,0.5117,0.4883,-0.0565122456872715,-0.0615338013934833,-0.0373231585590404,0.0529593867008446,0.0187501066119324,0.0268972245549305,0.0453674665342828,0.0167167818426754,-0.0115730409381617,0.0229339799089129
155,train,FP,0,0.4801,0.5199,-0.0675271564134521,-0.0716502598712144,-0.0487837768747028,0.0521650043267789,-0.0402072968762907,0.0436189979959941,0.0498966464758084,0.0274481573193758,0.0218622573927454,0.0421798990810301
156,train,FP,0,0.5048,0.4952,0.0546676731493956,-0.0659057607338402,0.0346691121748098,-0.0400287541918674,0.00894933286277479,-0.0264439061974785,0.0395736206009615,-0.00435587530316409,0.00393900555097886,0.0172465805714518
158,train,FP,0,0.7174,0.2826,-0.20636595161269,0.219894469844073,0.0922349004840535,0.17147257115161,-0.0285789218648993,0.0505987405267918,0.167007216037597,-0.024231381781639,-0.0108054564736987,0.0357608544634742
162,train,FP,0,0.5302,0.4698,0.0809226256880066,-0.0945200017904433,0.0419397323308354,0.0685154217668214,-0.0291510917057755,0.0417612484409381,0.052954188375356,-0.0158232396496271,-0.00414307008982455,-0.0386771980754693
171,train,FP,0,0.592,0.408,0.109025168423197,-0.116199867136289,-0.0486674667494097,0.0828922938361603,0.0283047993718702,0.0458415770663366,-0.0509910362376824,0.0116508490795137,-0.0113613563206124,0.0456689395961639
178,train,FP,0,0.8017,0.1983,0.0616715033915795,0.0660330308238567,0.0386144817268238,-0.0497178093948308,-0.0122551630031315,0.0282823011780662,0.0497069801014754,0.00345165793962538,0.000955614095912353,0.0218660130938197
181,train,FP,0,0.6169,0.3831,-0.129369538908616,0.146640423745828,0.0841508104188273,0.108116088976858,0.0381837273958861,-0.0806113634149752,-0.0991626244173987,-0.0309230840507248,0.00248292283851863,0.0699056972568061
191,train,FP,0,0.6158,0.3842,-0.0700245350361609,0.0783255265242587,-0.0430532192185222,0.0625993861991677,0.0378149182441975,-0.0427794525952866,-0.0560353258302099,0.026491690272468,-0.0174322960471583,0.0392205049097193
193,train,FP,0,0.5647,0.4353,-0.0527866382865907,0.0562219895482131,-0.0306052390167403,0.0402549074767117,-0.00854362942047979,0.0197297073560074,-0.0366144143805983,-0.00642254236217188,0.0025485694385913,-0.0143530852811548
405,test,FP,0,0.836,0.164,0.0425472801533793,0.0569659178280321,0.0302966469152953,0.0376064455224267,0.0187843120162487,0.0249196620248946,-0.0358812640605448,0.00707062422770084,0.00432917745876979,-0.023455756532789
408,test,FP,0,0.5794,0.4206,0.101768817049251,-0.118002475078477,-0.0801833440331885,-0.0907120146946221,0.0605182744720455,0.0801516344050076,0.0832178475268709,0.0252813514970983,-0.012931350655369,-0.0650333588282847
