TP_mean_local_score,TN_mean_local_score,FP_mean_local_score,FN_mean_local_score,variable
0.0442874621835423,0.0512972454328533,-0.0081759446951976,0.0470115783388142,mainvar5
0.0593643342121845,0.0700330828787668,0.00994686685065922,0.0628801263484148,mainvar9
0.0243385251260342,0.0306200019727212,0.000446783319174045,0.0108761756816955,mainvar1
0.0310699051924755,0.035144897261416,0.00665401274365584,0.00175098176633207,mainvar4
0.0187290233712691,-0.00194092106498994,0.00536491660935196,-0.0149896916746308,mainvar7
0.0229450423415505,0.00339368363998789,0.0135743034664719,-0.0227398438859592,mainvar10
0.0169993677437607,0.0477997284569798,0.00392180683526339,0.0135889233209077,mainvar3
0.00500743717950382,-0.00329289894654824,0.00940212397000438,-0.00331328956423128,mainvar8
0.00024299862576723,0.0015330565901042,0.000392181493602664,-0.0010713144524675,intvar4
0.00980336132512028,-0.00445835397134174,0.0101340681152391,-0.0154005039963569,mainvar6
