id,pred_type
402,TN
403,TN
407,TN
408,FP
409,TN
411,FP
412,TN
416,TN
420,TN
423,TN
424,TN
426,TN
427,TN
429,TN
430,TN
432,FP
433,TN
434,TN
437,TN
438,FP
440,FP
441,FP
444,FP
445,FP
446,TN
447,TN
448,FP
450,TN
451,TP
452,FN
454,TP
458,TP
459,TP
460,TP
462,FN
464,FN
465,TP
466,TP
469,TP
470,TP
474,FN
475,TP
476,TP
477,TP
479,FN
481,FN
483,TP
485,TP
486,TP
489,TP
490,FN
498,FN
500,FN
