scores,variable
0.241626160982549,mainvar5
0.241115471808427,mainvar9
0.159325765409864,mainvar1
0.138147075503248,mainvar4
0.123955943502976,mainvar7
0.0949269074582191,mainvar10
0.0776013477684605,mainvar3
0.0260204628113885,mainvar8
0.0131217319693835,intvar4
0.00402636695552098,mainvar6
