"case","feature","feature_weight","label","label_prob","feature_desc","feature_value"
"10","time_kl_shift",0.0514728158962243,"1",0.962333333333333,"time_kl_shift <= 1109",799
"10","sd_d18O13C",0.0097908938391419,"1",0.962333333333333,"0.00353 < sd_d18O13C <= 0.00613",0.00407273156523469
"11","diff2_acf1",-0.167001270084712,"1",0.958,"0.720 < diff2_acf1 <= 0.753",0.731087453785856
"11","avg_rR45CO244CO2",0.163781179767857,"1",0.958,"1.18 < avg_rR45CO244CO2",1.18102655433333
"11","sd_d18O13C",0.0838334277232822,"1",0.958,"sd_d18O13C <= 0.00353",0.00302433566296319
"11","fluctanal_prop_r1",0.0603159309905757,"1",0.958,"0.383 < fluctanal_prop_r1 <= 0.418",0.408163265306122
"11","time_kl_shift",0.0549146097067032,"1",0.958,"time_kl_shift <= 1109",323
"12","diff2_acf1",-0.163670050934787,"1",0.968,"0.720 < diff2_acf1 <= 0.753",0.732056761860284
"12","avg_rR45CO244CO2",0.158644182670864,"1",0.968,"1.18 < avg_rR45CO244CO2",1.18121104733333
"12","sd_d18O13C",0.0714857147484303,"1",0.968,"sd_d18O13C <= 0.00353",0.00344652528072581
"12","fluctanal_prop_r1",0.0647190866896159,"1",0.968,"0.383 < fluctanal_prop_r1 <= 0.418",0.408163265306122
"12","time_kl_shift",0.0551510802661427,"1",0.968,"time_kl_shift <= 1109",323
"13","diff2_acf1",0.226732543713605,"1",0.939,"0.785 < diff2_acf1",0.797016185541713
"13","avg_rR45CO244CO2",0.0694266104437262,"1",0.939,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17978800777778
"13","fluctanal_prop_r1",0.0541423737596759,"1",0.939,"0.383 < fluctanal_prop_r1 <= 0.418",0.408163265306122
"13","time_kl_shift",0.0532065385570025,"1",0.939,"time_kl_shift <= 1109",133
"13","sd_d18O13C",0.00406244474760606,"1",0.939,"0.00353 < sd_d18O13C <= 0.00613",0.00393544658121488
"14","diff2_acf1",-0.158932104875491,"1",0.794,"0.720 < diff2_acf1 <= 0.753",0.730580854212807
"14","fluctanal_prop_r1",0.064770522226424,"1",0.794,"0.383 < fluctanal_prop_r1 <= 0.418",0.408163265306122
"14","avg_rR45CO244CO2",0.0494409179313586,"1",0.794,"1.18 < avg_rR45CO244CO2 <= 1.18",1.18072147777778
"14","time_kl_shift",0.0534590061011973,"1",0.794,"time_kl_shift <= 1109",323
"14","sd_d18O13C",0.00545041084762149,"1",0.794,"0.00353 < sd_d18O13C <= 0.00613",0.00433200676952124
"15","avg_rR45CO244CO2",0.0605418778105798,"1",0.852333333333333,"1.18 < avg_rR45CO244CO2 <= 1.18",1.17997012911111
"15","fluctanal_prop_r1",0.0607693030371352,"1",0.852333333333333,"0.383 < fluctanal_prop_r1 <= 0.418",0.408163265306122
"15","diff2_acf1",0.0616720815041976,"1",0.852333333333333,"diff2_acf1 <= 0.720",0.715023234480512
"15","time_kl_shift",0.0493722499570356,"1",0.852333333333333,"time_kl_shift <= 1109",323
"15","sd_d18O13C",0.00509494517884031,"1",0.852333333333333,"0.00353 < sd_d18O13C <= 0.00613",0.00366924824694304
"16","diff2_acf1",-0.166044471430376,"1",0.899666666666667,"0.720 < diff2_acf1 <= 0.753",0.720937265058513
"16","avg_rR45CO244CO2",0.157615142125945,"1",0.899666666666667,"1.18 < avg_rR45CO244CO2",1.18197183055556
"16","sd_d18O13C",-0.162448500507789,"1",0.899666666666667,"0.00613 < sd_d18O13C <= 0.00874",0.00618227528208098
"16","fluctanal_prop_r1",0.0667469063002891,"1",0.899666666666667,"0.383 < fluctanal_prop_r1 <= 0.418",0.408163265306122
"16","time_kl_shift",0.0561531962334309,"1",0.899666666666667,"time_kl_shift <= 1109",799
"17","diff2_acf1",0.230594853932832,"1",0.997,"0.785 < diff2_acf1",0.799141145346459
"17","sd_d18O13C",0.0715463592891891,"1",0.997,"sd_d18O13C <= 0.00353",0.00236011995315557
