scores,variable
0.326657544486097,mainvar8
0.0840715063858421,intvar8
0.0489949957140195,mainvar9
0.0129424646644325,mainvar7
0.0116500622705835,var14
0.00844076479111589,var64
0.00810801809362799,intvar7
0.00585745969446916,var67
