train_test,pred_type,pred,mean_total_local,mean_prob0,mean_prob1
test,FN,1,-0.184023263072838,0.3301,0.6699
test,FP,0,0.371066713293902,0.6399,0.3601
test,TN,1,0.31790620352752,0.0763416666666667,0.923654166666667
test,TP,0,0.305077116227203,0.695291304347826,0.304708695652174
train,FN,1,-0.0716520671029268,0.4707,0.5293
train,FP,0,0.309056689726243,0.666930769230769,0.333069230769231
train,TN,1,0.279805751500992,0.0363552380952381,0.963644761904762
train,TP,0,0.359987846897837,0.677627659574468,0.322372340425532
