train_test,pred_type,pred,opp_mean_total_local,mean_prob0,mean_prob1
test,FN,1,-0.230318570953684,0.3301,0.6699
test,FP,0,0.255748729890185,0.6399,0.3601
test,TN,1,0.304225099895637,0.0763416666666667,0.923654166666667
test,TP,0,0.314786537168993,0.695291304347826,0.304708695652174
train,FN,1,-0.0259675894922449,0.4707,0.5293
train,FP,0,0.380571440685769,0.666930769230769,0.333069230769231
train,TN,1,0.258032033938142,0.0363552380952381,0.963644761904762
train,TP,0,0.308860291875524,0.677627659574468,0.322372340425532
