rf_score,variable
119.238671650197,mainvar8
44.9977800226825,mainvar1
42.0752386760501,mainvar7
14.5078031128543,var45
12.0515839303339,intvar3
10.0485900325657,intvar7
9.50046214504354,mainvar9
9.46512196324251,mainvar10
9.39017800610689,var6
9.16250247360623,var79
8.873944215225,intvar1
8.60284958411315,var80
8.32320258093711,var71
8.14779145553054,var77
8.09534151781962,mainvar6
7.74937368576933,var13
6.6960710704115,var64
6.44814779931138,var42
6.05123529248991,var75
5.49540788429582,intvar8
5.45336461745134,var5
5.39482408318199,intvar9
4.02915752508585,var63
3.73461009028736,var25
3.63631754454925,intvar6
3.22415849568171,var22
3.07405252848905,var56
2.79089666572384,var21
2.67367028708477,var78
2.48474478985143,intvar5
2.30166099960232,var29
2.24739163883822,var31
2.21628225355881,var67
2.17530184998408,intvar10
2.15343912817135,intvar4
2.08417489414045,mainvar4
2.04561879854813,var17
1.80497205951352,var24
1.70970783323552,var28
1.69020961306467,mainvar3
1.6718351877229,var54
1.65671850964955,var3
1.52456939651716,var15
1.40740258235874,var53
1.20576214145926,var47
1.15292162308249,var7
1.02915410650645,var59
0.916983403968357,var39
0.87527219390405,var23
0.865522806292028,mainvar2
0.86174460508041,var74
0.748785319599546,var20
0.655410431223431,mainvar5
0.516233196781647,var4
0.421924386484175,var33
0.302635531415311,var48
0.240793696627325,var34
0.235828880962952,var18
0.167491634634294,var10
-0.0827614539243839,var26
-0.102370212923498,var69
-0.154537320662671,var61
-0.178519241685144,var76
-0.183696394376041,var1
-0.246515964423595,var38
-0.380432004701868,var72
-0.384247683152271,var36
-0.48206317124099,intvar2
-0.535952371100355,var51
-0.568590288374484,var46
-0.574963349985125,var50
-0.634961439292904,var73
-0.76829159607135,var68
-0.910088332305045,var44
-1.0353817889807,var32
-1.08648771908026,var16
-1.09395968381718,var55
-1.21078641332086,var57
-1.2487311600385,var35
-1.42728568404102,var12
-1.46554534589269,var62
-1.52727491542587,var30
-1.57430262380162,var8
-1.75353305430464,var11
-1.83781364857575,var40
-1.87621507684656,var70
-1.8890506006183,var27
-2.06580398661559,var66
-2.20527693126069,var14
-2.30374430330218,var9
-2.42899325494342,var58
-2.48233720617513,var52
-2.50723082513983,var43
-2.78603796025883,var37
-2.87690242309125,var41
-2.96947472612409,var19
-3.06942624506449,var65
-3.16019813096381,var60
-3.35129535705448,var2
-3.39183907096804,var49
