pred_type,pred,class,mean_total_local,mean_prob_1,mean_prob_0
FN,1,0,0.0508865740740741,0.525367877388042,0.474632122611958
FP,0,1,-0.106479938271605,0.348838269852618,0.651161730147382
TN,1,1,0.103477072310406,0.965758101749078,0.0342418982509218
TP,0,0,0.145574369582348,0.325775129500818,0.674224870499182
