class,pred,prob_0,prob_1,total_local_score,variable,local_score,sign
1,0,0.54,0.46,-0.170928541763859,var64,0.00248584325800225,Supports
1,0,0.54,0.46,-0.170928541763859,intvar7,0.0711423660757238,Supports
1,0,0.54,0.46,-0.170928541763859,var14,-0.0976588056345675,Contradicts
1,0,0.54,0.46,-0.170928541763859,var67,-0.173719755855369,Contradicts
1,0,0.54,0.46,-0.170928541763859,intvar8,-0.192108762616385,Contradicts
1,0,0.54,0.46,-0.170928541763859,mainvar9,0.214356195239968,Supports
1,0,0.54,0.46,-0.170928541763859,mainvar7,-0.34712727572188,Contradicts
1,0,0.54,0.46,-0.170928541763859,mainvar8,0.351701653490649,Supports
